AHN Se Jung POSITION,AHN Se Jung LAP TIME,AHN Se Jung ELAPSED TIME,Veronika DENES POSITION,Veronika DENES LAP TIME,Veronika DENES ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,Sarah CHEN POSITION,Sarah CHEN LAP TIME,Sarah CHEN ELAPSED TIME,Lea THIBAULT POSITION,Lea THIBAULT LAP TIME,Lea THIBAULT ELAPSED TIME,GONCHAROVA Darya POSITION,GONCHAROVA Darya LAP TIME,GONCHAROVA Darya ELAPSED TIME
2,9.09,9.09,3,9.21,9.21,1,8.91,8.91,7,9.60,9.60,4,9.34,9.34,5,9.39,9.39,6,9.50,9.50
4,12.32,21.41,3,12.10,21.31,1,12.29,21.20,5,11.91,21.51,6,12.29,21.63,7,12.33,21.72,2,11.76,21.26
4,10.50,31.91,3,10.48,31.79,2,10.46,31.66,5,10.55,32.06,6,10.52,32.15,7,10.55,32.27,1,10.32,31.58
4,10.71,42.62,3,10.69,42.48,2,10.73,42.39,5,10.65,42.71,6,10.65,42.80,7,10.60,42.87,1,10.72,42.30
1,10.36,52.98,5,10.86,53.34,3,10.83,53.22,4,10.58,53.29,6,10.66,53.46,7,10.60,53.47,2,10.90,53.20
1,10.57,1:03.55,7,10.47,1:03.81,2,10.39,1:03.61,3,10.34,1:03.63,6,10.28,1:03.74,5,10.25,1:03.72,4,10.51,1:03.71
2,9.77,1:13.32,6,10.18,1:13.99,1,9.54,1:13.15,4,10.06,1:13.69,3,9.69,1:13.43,5,10.17,1:13.89,7,10.56,1:14.27
2,10.24,1:23.56,6,9.96,1:23.95,1,10.27,1:23.42,4,10.05,1:23.74,3,10.18,1:23.61,5,9.97,1:23.86,7,10.56,1:24.83
2,10.14,1:33.70,6,10.21,1:34.16,1,10.14,1:33.56,3,10.13,1:33.87,4,10.36,1:33.97,5,10.26,1:34.12,7,11.17,1:36.00
2,10.14,1:43.84,6,10.22,1:44.38,1,10.14,1:43.70,3,10.10,1:43.97,4,10.11,1:44.08,5,10.20,1:44.32,7,11.83,1:47.83
2,10.13,1:53.97,6,10.36,1:54.74,1,10.13,1:53.83,3,10.14,1:54.11,4,10.18,1:54.26,5,10.19,1:54.51,7,12.68,2:00.51
2,10.26,2:04.23,6,10.72,2:05.46,1,10.32,2:04.15,3,10.33,2:04.44,4,10.34,2:04.60,5,10.43,2:04.94,7,14.52,2:15.03
2,10.22,2:14.45,6,10.93,2:16.39,1,10.30,2:14.45,3,10.48,2:14.92,4,10.42,2:15.02,5,10.81,2:15.75,7,13.29,2:28.32
1,10.20,2:24.646,6,10.93,2:27.312,2,10.53,2:24.980,3,10.73,2:25.647,4,10.83,2:25.844,5,11.38,2:27.125,7,11.91,2:40.223
