Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,PIERRE-GILLES Jordan POSITION,PIERRE-GILLES Jordan LAP TIME,PIERRE-GILLES Jordan ELAPSED TIME,HEO Andrew POSITION,HEO Andrew LAP TIME,HEO Andrew ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
2,13.53,13.53,1,13.40,13.40,3,13.67,13.67,5,13.85,13.85,3,13.67,13.67
4,9.92,23.45,1,9.81,23.21,3,9.71,23.38,5,9.65,23.50,2,9.63,23.30
5,9.69,33.14,1,9.63,32.84,4,9.68,33.06,2,9.38,32.88,3,9.67,32.97
5,9.38,42.52,3,9.35,42.19,4,9.33,42.39,1,9.22,42.10,2,9.21,42.18
5,9.40,51.92,3,9.59,51.78,4,9.44,51.83,1,9.43,51.53,2,9.50,51.68
5,9.45,1:01.37,2,9.07,1:00.85,4,9.26,1:01.09,3,9.34,1:00.87,1,9.05,1:00.73
5,9.46,1:10.83,2,8.93,1:09.78,4,9.00,1:10.09,3,9.09,1:09.96,1,8.95,1:09.68
5,9.89,1:20.72,2,9.02,1:18.80,4,9.06,1:19.15,3,9.05,1:19.01,1,8.97,1:18.65
5,10.38,1:31.10,2,9.24,1:28.04,4,9.29,1:28.44,3,9.24,1:28.25,1,9.23,1:27.88
