Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
4,12.55,12.55,1,6.95,6.95,3,7.56,7.56,2,7.19,7.19
4,9.52,22.07,2,9.17,16.13,1,8.37,15.94,3,9.01,16.21
4,8.75,30.82,2,8.46,24.59,1,8.62,24.57,3,8.47,24.68
4,8.84,39.66,3,8.92,33.51,1,8.86,33.43,2,8.77,33.46
3,9.24,48.894,1,9.01,42.516,0,,DQ,2,9.47,42.925
