Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,KIM Yong-Sung POSITION,KIM Yong-Sung LAP TIME,KIM Yong-Sung ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Gianluigi NOVER POSITION,Gianluigi NOVER LAP TIME,Gianluigi NOVER ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME
1,12.29,12.29,4,12.55,12.55,2,12.40,12.40,5,12.92,12.92,3,12.51,12.51
2,9.51,21.80,4,9.50,22.05,1,9.38,21.79,5,9.37,22.30,3,9.44,21.96
1,9.15,30.96,4,9.26,31.32,2,9.27,31.06,5,9.26,31.56,3,9.22,31.19
1,9.40,40.36,4,9.30,40.62,2,9.48,40.54,5,9.34,40.91,3,9.42,40.61
1,9.32,49.68,4,9.42,50.05,2,9.15,49.70,5,9.28,50.19,3,9.19,49.80
1,9.25,58.94,4,9.21,59.26,3,9.40,59.10,5,9.19,59.38,2,9.23,59.04
2,9.46,1:08.40,4,9.35,1:08.62,3,9.32,1:08.43,5,9.58,1:08.96,1,9.34,1:08.38
2,9.63,1:18.04,4,9.48,1:18.10,3,9.66,1:18.09,5,10.01,1:18.98,1,9.53,1:17.92
2,9.98,1:28.014,4,10.44,1:28.536,3,9.95,1:28.039,5,10.54,1:29.518,1,9.87,1:27.782
