SEO Whi Min POSITION,SEO Whi Min LAP TIME,SEO Whi Min ELAPSED TIME,CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,ZHANG Yuting POSITION,ZHANG Yuting LAP TIME,ZHANG Yuting ELAPSED TIME
5,14.12,14.12,2,13.73,13.73,3,13.85,13.85,4,14.00,14.00,1,13.58,13.58
3,9.97,24.09,2,10.30,24.03,4,10.36,24.21,5,10.32,24.32,1,10.39,23.97
2,9.30,33.39,3,9.49,33.52,4,9.42,33.63,5,9.39,33.71,1,9.36,33.33
2,9.29,42.68,3,9.29,42.81,4,9.29,42.92,5,9.29,43.00,1,9.22,42.55
3,9.64,52.32,2,9.40,52.21,4,9.49,52.41,5,9.44,52.44,1,9.50,52.05
4,9.63,1:01.95,2,9.63,1:01.84,5,9.70,1:02.11,3,9.49,1:01.93,1,9.64,1:01.69
4,9.48,1:11.43,3,9.49,1:11.33,5,9.47,1:11.58,2,9.28,1:11.21,1,9.49,1:11.18
4,9.52,1:20.95,3,9.56,1:20.89,5,9.48,1:21.06,1,9.24,1:20.45,2,9.60,1:20.78
3,9.75,1:30.70,4,9.89,1:30.78,5,9.76,1:30.82,1,9.66,1:30.11,2,9.76,1:30.54
