PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,QU Chunyu POSITION,QU Chunyu LAP TIME,QU Chunyu ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
5,7.95,7.95,1,7.14,7.14,2,7.41,7.41,3,7.51,7.51,4,7.68,7.68
5,9.22,17.17,1,9.41,16.55,2,9.35,16.76,3,9.37,16.88,4,9.32,17.00
5,8.76,25.93,2,9.02,25.57,1,8.76,25.52,3,8.84,25.72,4,8.83,25.83
2,8.96,34.89,5,9.71,35.28,1,9.25,34.77,3,9.29,35.01,4,9.36,35.19
2,9.32,44.21,5,10.11,45.369,1,9.36,44.13,3,,44.406,4,,44.414
