Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Mathieu GIROUX POSITION,Mathieu GIROUX LAP TIME,Mathieu GIROUX ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
1,8.200,8.200,5,8.410,8.410,4,8.270,8.270,3,8.270,8.270,2,8.260,8.260
2,11.690,19.900,4,11.890,20.310,3,11.810,20.080,1,11.570,19.840,5,12.310,20.570
1,11.630,31.530,4,11.490,31.800,2,11.500,31.580,3,11.840,31.690,5,11.430,32.010
3,10.730,42.270,4,10.760,42.560,2,10.660,42.240,1,10.380,42.070,5,10.720,42.740
4,11.100,53.370,5,10.820,53.380,2,11.070,53.310,1,11.180,53.250,3,10.620,53.360
1,10.400,1:03.780,5,10.700,1:04.090,2,10.510,1:03.830,3,10.600,1:03.860,4,10.690,1:04.060
5,10.160,1:13.940,3,9.700,1:13.790,2,9.910,1:13.740,1,9.700,1:13.560,4,9.740,1:13.800
4,9.350,1:23.290,5,9.550,1:23.350,2,9.450,1:23.200,1,9.340,1:22.900,3,9.440,1:23.240
5,9.690,1:32.990,2,9.610,1:32.960,3,9.770,1:32.970,1,10.020,1:32.930,4,9.730,1:32.980
4,9.950,1:42.940,2,9.920,1:42.890,1,9.690,1:42.670,3,9.980,1:42.910,5,10.100,1:43.080
2,9.560,1:52.510,3,9.690,1:52.580,1,9.830,1:52.500,5,9.700,1:52.620,4,9.520,1:52.610
3,9.350,2:01.870,2,9.150,2:01.740,1,9.200,2:01.710,4,9.340,2:01.970,5,9.450,2:02.070
3,9.530,2:11.400,1,9.360,2:11.110,5,9.730,2:11.450,2,9.370,2:11.340,4,9.350,2:11.420
5,10.140,2:21.550,3,9.550,2:20.660,1,8.880,2:20.340,2,9.040,2:20.380,4,9.270,2:20.700
