Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,KONG Xue POSITION,KONG Xue LAP TIME,KONG Xue ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME
1,9.76,9.76,2,9.88,9.88,3,10.02,10.02,5,10.16,10.16,6,10.29,10.29,4,10.09,10.09
2,13.80,23.56,4,14.04,23.92,5,14.04,24.06,6,14.17,24.33,1,13.23,23.52,3,13.68,23.77
1,12.57,36.13,3,12.30,36.22,5,12.34,36.40,6,12.29,36.62,4,12.75,36.27,2,12.45,36.22
1,11.33,47.46,2,11.37,47.59,5,11.66,48.06,6,11.64,48.26,4,11.66,47.93,3,11.60,47.82
1,11.17,58.63,2,11.15,58.74,5,11.12,59.18,6,11.07,59.33,4,11.15,59.08,3,11.12,58.94
1,11.04,1:09.67,3,11.02,1:09.76,5,10.73,1:09.91,6,10.79,1:10.12,4,10.74,1:09.82,2,10.79,1:09.73
2,10.08,1:19.75,4,10.18,1:19.94,5,10.16,1:20.07,6,10.10,1:20.22,3,10.02,1:19.84,1,9.92,1:19.65
3,10.27,1:30.02,2,10.02,1:29.96,6,10.28,1:30.35,5,10.03,1:30.25,4,10.29,1:30.13,1,10.27,1:29.92
3,10.21,1:40.23,1,10.04,1:40.00,6,10.23,1:40.58,5,10.21,1:40.46,4,10.20,1:40.33,2,10.19,1:40.11
3,10.04,1:50.27,1,10.00,1:50.00,6,10.00,1:50.58,5,10.06,1:50.52,4,10.05,1:50.38,2,10.03,1:50.14
3,9.62,1:59.89,2,9.74,1:59.74,6,9.72,2:00.30,5,9.62,2:00.14,4,9.59,1:59.97,1,9.56,1:59.70
2,9.36,2:09.25,3,9.65,2:09.39,6,9.45,2:09.75,5,9.37,2:09.51,4,9.48,2:09.45,1,9.44,2:09.14
2,9.37,2:18.62,5,9.45,2:18.84,6,9.62,2:19.37,3,9.32,2:18.83,4,9.38,2:18.83,1,9.34,2:18.48
3,9.40,2:28.021,5,9.77,2:28.604,6,9.70,2:29.063,2,9.12,2:27.943,4,9.32,2:28.145,1,9.32,2:27.791
