Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME
1,13.07,13.07,3,13.24,13.24,2,13.15,13.15,4,13.34,13.34
2,10.43,23.50,3,10.36,23.60,1,10.26,23.41,4,10.35,23.69
2,10.11,33.61,3,10.10,33.70,1,10.15,33.56,4,10.08,33.77
2,9.94,43.55,3,9.95,43.65,1,9.90,43.46,4,9.97,43.74
2,10.31,53.86,3,10.32,53.97,1,10.31,53.77,4,10.33,54.07
2,10.15,1:04.01,3,10.20,1:04.17,1,10.21,1:03.98,4,10.25,1:04.32
1,9.61,1:13.62,2,9.58,1:13.75,3,10.01,1:13.99,4,9.73,1:14.05
1,9.56,1:23.18,2,9.53,1:23.28,4,10.13,1:24.12,3,9.74,1:23.79
1,9.78,1:32.953,2,9.74,1:33.019,4,10.54,1:34.652,3,9.74,1:33.521
