Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,IVANDIC Danijela POSITION,IVANDIC Danijela LAP TIME,IVANDIC Danijela ELAPSED TIME,CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,Gioya LANCEE POSITION,Gioya LANCEE LAP TIME,Gioya LANCEE ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME
1,10.50,10.50,2,10.61,10.61,6,11.15,11.15,5,10.94,10.94,4,10.80,10.80,3,10.69,10.69
3,16.16,26.66,1,15.72,26.33,6,16.08,27.23,5,16.13,27.07,4,15.99,26.79,2,15.79,26.48
2,14.18,40.84,1,14.37,40.70,6,14.25,41.48,5,14.24,41.31,4,14.36,41.15,3,14.54,41.02
3,13.99,54.83,2,14.05,54.75,6,13.83,55.31,5,13.87,55.18,4,13.85,55.00,1,13.70,54.72
2,12.63,1:07.46,1,12.57,1:07.32,6,12.78,1:08.09,5,12.80,1:07.98,4,12.81,1:07.81,3,12.95,1:07.67
2,11.91,1:19.37,1,11.95,1:19.27,6,11.66,1:19.75,5,11.66,1:19.64,3,11.61,1:19.42,4,11.84,1:19.51
3,10.29,1:29.66,2,10.29,1:29.56,6,10.42,1:30.17,5,10.35,1:29.99,1,9.90,1:29.32,4,10.32,1:29.83
3,9.60,1:39.26,2,9.63,1:39.19,6,9.78,1:39.95,5,9.50,1:39.49,1,9.75,1:39.07,4,9.50,1:39.33
4,9.94,1:49.20,2,9.81,1:49.00,6,9.95,1:49.90,5,9.78,1:49.27,1,9.78,1:48.85,3,9.77,1:49.10
4,9.61,1:58.81,2,9.63,1:58.63,6,10.32,2:00.22,5,9.62,1:58.89,1,9.60,1:58.45,2,9.53,1:58.63
4,9.69,2:08.50,5,10.32,2:08.95,6,11.06,2:11.28,3,9.45,2:08.34,1,9.57,2:08.02,2,9.63,2:08.26
4,9.70,2:18.20,5,10.41,2:19.36,6,11.77,2:23.05,3,9.65,2:17.99,1,9.66,2:17.68,2,9.69,2:17.95
4,9.87,2:28.07,5,11.12,2:30.48,6,12.31,2:35.36,2,9.56,2:27.55,1,9.86,2:27.54,3,9.88,2:27.83
0,,PHOTO,5,11.75,2:42.206,6,12.68,2:48.023,1,9.92,2:37.451,2,10.04,2:37.562,4,,2:38.199
