SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,RI Ji Ryon POSITION,RI Ji Ryon LAP TIME,RI Ji Ryon ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME
3,11.33,11.33,5,11.46,11.46,1,10.91,10.91,6,11.67,11.67,2,11.20,11.20,4,11.42,11.42
3,14.72,26.05,4,14.79,26.25,1,14.81,25.72,5,14.71,26.38,2,14.73,25.93,6,15.00,26.42
3,13.38,39.43,4,13.33,39.58,1,13.35,39.07,6,13.44,39.82,2,13.36,39.29,4,13.16,39.58
3,12.33,51.76,4,12.35,51.93,1,12.43,51.50,6,12.38,52.20,2,12.35,51.64,5,12.45,52.03
4,12.09,1:03.85,3,11.82,1:03.75,1,12.00,1:03.50,6,11.92,1:04.12,2,12.00,1:03.64,5,11.95,1:03.98
5,11.74,1:15.59,2,11.61,1:15.36,1,11.76,1:15.26,4,11.43,1:15.55,3,11.77,1:15.41,6,11.71,1:15.69
1,9.84,1:25.43,3,10.29,1:25.65,2,10.32,1:25.58,6,10.44,1:25.99,4,10.33,1:25.74,5,10.19,1:25.88
1,10.14,1:35.57,2,10.01,1:35.66,4,10.18,1:35.76,6,10.03,1:36.02,3,9.99,1:35.73,5,10.02,1:35.90
2,9.81,1:45.38,3,9.80,1:45.46,4,9.82,1:45.58,6,9.85,1:45.87,1,9.47,1:45.20,5,9.79,1:45.69
3,9.75,1:55.13,2,9.66,1:55.12,4,9.69,1:55.27,6,9.64,1:55.51,1,9.79,1:54.99,5,9.70,1:55.39
3,9.78,2:04.91,2,9.61,2:04.73,4,9.80,2:05.07,6,9.81,2:05.32,1,9.66,2:04.65,5,9.81,2:05.20
3,9.90,2:14.81,2,9.62,2:14.35,4,9.85,2:14.92,6,10.02,2:15.34,1,9.58,2:14.23,5,10.03,2:15.23
3,10.06,2:24.87,2,9.71,2:24.06,4,10.05,2:24.97,6,10.36,2:25.70,1,9.70,2:23.93,5,10.41,2:25.64
3,10.26,2:35.13,0,9.81,2:33.87,4,10.27,2:35.242,5,10.84,2:36.540,0,9.93,2:33.86,6,11.01,2:36.657
