Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Sebastian KLOSINSKI POSITION,Sebastian KLOSINSKI LAP TIME,Sebastian KLOSINSKI ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,Mykyta SOKOLOV POSITION,Mykyta SOKOLOV LAP TIME,Mykyta SOKOLOV ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME
4,13.21,13.21,2,13.02,13.02,3,13.20,13.20,5,13.34,13.34,1,12.95,12.95
4,10.52,23.73,3,10.56,23.58,1,10.08,23.28,5,10.51,23.85,2,10.50,23.45
4,9.51,33.24,3,9.46,33.04,1,9.49,32.77,5,9.53,33.38,2,9.41,32.86
4,9.04,42.28,3,9.12,42.16,1,9.09,41.86,5,9.14,42.52,2,9.08,41.94
3,8.93,51.21,4,9.18,51.34,1,9.13,50.99,5,9.14,51.66,2,9.14,51.08
3,9.14,1:00.35,4,9.15,1:00.49,1,9.13,1:00.12,5,9.26,1:00.92,2,9.12,1:00.20
3,8.99,1:09.34,4,9.25,1:09.74,1,8.97,1:09.09,5,9.50,1:10.42,2,8.97,1:09.17
3,9.06,1:18.40,4,9.59,1:19.33,1,9.00,1:18.09,5,9.82,1:20.24,2,9.01,1:18.18
3,9.21,1:27.603,4,10.10,1:29.425,1,9.36,1:27.446,5,10.05,1:30.285,2,9.34,1:27.521
