Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Denise ALTMANN POSITION,Denise ALTMANN LAP TIME,Denise ALTMANN ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,Jade WHEELER POSITION,Jade WHEELER LAP TIME,Jade WHEELER ELAPSED TIME,Olga LOPATKINA POSITION,Olga LOPATKINA LAP TIME,Olga LOPATKINA ELAPSED TIME,Ekaterina STUKANOV POSITION,Ekaterina STUKANOV LAP TIME,Ekaterina STUKANOV ELAPSED TIME
4,9.470,9.470,2,9.181,9.181,5,9.573,9.573,6,9.586,9.586,1,9.141,9.141,3,9.368,9.368
5,11.817,21.286,1,11.593,20.773,3,11.615,21.188,4,11.657,21.243,6,12.429,21.570,2,11.440,20.808
3,10.910,32.196,1,11.028,31.800,4,11.012,32.200,6,11.366,32.609,5,10.745,32.315,2,11.076,31.883
6,10.971,43.167,2,10.934,42.734,4,10.869,43.068,5,10.556,43.164,3,10.646,42.960,1,10.673,42.555
4,11.000,54.166,2,11.119,53.853,6,11.236,54.304,3,10.959,54.123,5,11.214,54.173,1,11.193,53.748
4,10.774,1:04.940,2,10.803,1:04.655,6,10.811,1:05.114,3,10.713,1:04.835,5,10.830,1:05.003,1,10.690,1:04.438
3,10.647,1:15.586,4,10.963,1:15.618,5,10.851,1:15.965,2,10.608,1:15.443,6,11.076,1:16.079,1,10.463,1:14.901
4,10.765,1:26.351,5,11.003,1:26.620,3,9.904,1:25.868,2,10.259,1:25.701,6,10.739,1:26.817,1,10.512,1:25.413
4,10.651,1:37.001,5,11.118,1:37.738,3,10.787,1:36.654,2,10.927,1:36.627,6,11.076,1:37.893,1,10.886,1:36.298
4,10.784,1:47.784,5,11.101,1:48.838,2,10.723,1:47.377,3,10.868,1:47.495,6,11.223,1:49.115,1,10.853,1:47.151
4,10.861,1:58.645,5,11.558,2:00.395,1,10.692,1:58.068,3,10.792,1:58.287,6,11.432,2:00.547,2,11.052,1:58.202
4,11.327,2:09.972,5,11.409,2:11.804,1,10.772,2:08.839,3,10.655,2:08.942,6,11.529,2:12.075,2,10.726,2:08.927
4,11.246,2:21.217,5,12.016,2:23.819,1,10.653,2:19.492,2,10.688,2:19.629,6,22.853,2:34.928,3,10.874,2:19.801
4,12.24,2:33.451,5,12.36,2:36.179,1,10.95,2:30.435,2,10.95,2:30.573,6,15.06,2:49.987,3,11.27,2:31.063
