Maarten SLEMBROUCK POSITION,Maarten SLEMBROUCK LAP TIME,Maarten SLEMBROUCK ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Declan HISCOX POSITION,Declan HISCOX LAP TIME,Declan HISCOX ELAPSED TIME
2,7.29,7.29,1,7.10,7.10,3,7.46,7.46,4,7.53,7.53
2,9.57,16.86,1,9.25,16.35,3,9.45,16.91,4,9.85,17.38
3,9.86,26.72,1,8.94,25.29,2,9.44,26.35,4,9.46,26.84
3,9.54,36.26,1,9.08,34.37,2,9.45,35.80,4,9.58,36.42
2,9.70,45.953,1,9.30,43.665,0,,PEN,3,9.81,46.223
