Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Ivan MOJSILOVIC POSITION,Ivan MOJSILOVIC LAP TIME,Ivan MOJSILOVIC ELAPSED TIME
3,15.21,15.21,3,15.21,15.21,2,15.08,15.08,1,15.04,15.04,5,15.39,15.39
4,11.12,26.33,2,10.94,26.15,1,11.05,26.13,3,11.20,26.24,5,11.14,26.53
1,10.23,36.56,3,10.58,36.73,2,10.48,36.61,4,10.61,36.85,5,10.45,36.98
1,9.81,46.37,4,9.82,46.55,2,9.83,46.44,3,9.67,46.52,5,9.91,46.89
4,9.80,56.17,3,9.61,56.16,1,9.53,55.97,2,9.54,56.06,5,9.81,56.70
4,9.50,1:05.67,3,9.41,1:05.57,1,9.38,1:05.35,2,9.39,1:05.45,5,9.82,1:06.52
4,9.25,1:14.92,3,9.21,1:14.78,1,9.20,1:14.55,2,9.17,1:14.62,5,10.24,1:16.76
3,9.11,1:24.03,4,9.32,1:24.10,2,9.06,1:23.61,1,8.96,1:23.58,5,10.74,1:27.50
3,,1:33.867,4,,1:33.872,2,9.23,1:32.84,1,8.97,1:32.55,5,11.08,1:38.560
