CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME
2,7.38,7.38,1,7.27,7.27,3,7.47,7.47,4,7.49,7.49
2,9.48,16.86,1,9.47,16.74,3,9.78,17.25,4,9.81,17.30
2,8.83,25.69,1,8.84,25.58,3,8.69,25.94,4,9.01,26.31
4,22.41,48.10,1,8.94,34.52,3,21.28,47.22,2,9.22,35.53
4,33.52,1:21.617,1,9.32,43.839,3,22.47,1:09.681,2,9.74,45.266
