TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,SHA Kexin POSITION,SHA Kexin LAP TIME,SHA Kexin ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME
3,9.26,9.26,6,9.54,9.54,1,9.18,9.18,7,9.55,9.55,5,9.52,9.52,2,9.19,9.19,4,9.42,9.42
3,11.85,21.11,6,11.87,21.41,1,11.75,20.93,5,11.80,21.35,7,11.92,21.44,2,11.77,20.96,4,11.81,21.23
3,11.34,32.45,7,11.49,32.90,1,11.25,32.18,5,11.35,32.70,6,11.36,32.80,2,11.34,32.30,4,11.35,32.58
3,11.57,44.02,6,11.39,44.29,1,11.61,43.79,5,11.53,44.23,7,11.53,44.33,2,11.59,43.89,4,11.53,44.11
5,11.17,55.19,3,10.77,55.06,1,11.15,54.94,6,11.09,55.32,7,11.11,55.44,2,11.06,54.95,4,11.00,55.11
7,10.31,1:05.50,4,10.24,1:05.30,3,10.17,1:05.11,5,10.08,1:05.40,6,10.02,1:05.46,2,10.03,1:04.98,1,9.67,1:04.78
7,9.84,1:15.34,5,9.87,1:15.17,3,9.89,1:15.00,4,9.69,1:15.09,6,9.76,1:15.22,2,9.92,1:14.90,1,9.95,1:14.73
6,9.81,1:25.15,7,10.59,1:25.76,2,9.75,1:24.75,4,9.91,1:25.00,5,9.84,1:25.06,3,10.00,1:24.90,1,9.94,1:24.67
6,9.68,1:34.83,7,9.88,1:35.64,2,9.68,1:34.43,5,9.77,1:34.77,4,9.61,1:34.67,3,9.66,1:34.56,1,9.66,1:34.33
5,9.17,1:44.00,7,10.10,1:45.74,2,9.23,1:43.66,6,9.36,1:44.13,4,9.22,1:43.89,3,9.21,1:43.77,1,9.22,1:43.55
5,9.19,1:53.19,7,10.32,1:56.06,2,9.14,1:52.80,6,9.14,1:53.27,4,9.16,1:53.05,3,9.15,1:52.92,1,9.16,1:52.71
5,9.03,2:02.22,7,10.61,2:06.67,2,8.94,2:01.74,6,9.16,2:02.43,4,8.96,2:02.01,3,8.91,2:01.83,1,8.93,2:01.64
5,9.20,2:11.42,7,11.13,2:17.80,3,8.94,2:10.68,6,9.51,2:11.94,4,9.19,2:11.20,2,8.74,2:10.57,1,8.88,2:10.52
5,9.88,2:21.274,7,11.64,2:29.419,3,9.06,2:19.719,6,10.10,2:22.013,4,9.64,2:20.816,2,9.06,2:19.616,1,9.03,2:19.530
