EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,CHU Sidney K POSITION,CHU Sidney K LAP TIME,CHU Sidney K ELAPSED TIME
4,16.42,16.42,2,16.18,16.18,3,16.20,16.20,1,16.08,16.08
4,12.55,28.97,2,12.46,28.64,3,12.59,28.79,1,12.42,28.50
4,11.40,40.37,2,11.46,40.10,3,11.43,40.22,1,11.50,40.00
4,11.08,51.45,2,11.09,51.19,3,11.08,51.30,1,11.02,51.02
4,10.88,1:02.33,2,10.89,1:02.08,3,10.91,1:02.21,1,10.96,1:01.98
4,10.71,1:13.04,1,10.50,1:12.58,2,10.67,1:12.88,3,11.04,1:13.02
2,9.84,1:22.88,1,9.85,1:22.43,3,10.03,1:22.91,4,11.15,1:24.17
1,9.12,1:32.00,2,9.72,1:32.15,3,10.16,1:33.07,4,11.06,1:35.23
1,9.18,1:41.175,2,9.87,1:42.020,3,10.17,1:43.233,4,11.29,1:46.518
