Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME
1,7.34,7.34,2,7.52,7.52,3,7.54,7.54,4,7.64,7.64
1,9.52,16.86,2,9.65,17.17,3,13.74,21.28,4,21.81,29.45
1,9.21,26.07,2,8.99,26.16,3,10.47,31.75,4,10.81,40.26
2,9.33,35.40,1,9.22,35.38,3,11.03,42.78,4,10.41,50.67
2,9.77,45.170,1,9.70,45.074,3,12.04,54.817,4,11.27,1:01.933
