WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,V Gundmi RAGHAVENDRA POSITION,V Gundmi RAGHAVENDRA LAP TIME,V Gundmi RAGHAVENDRA ELAPSED TIME
2,16.39,16.39,1,16.30,16.30,3,16.49,16.49,4,16.62,16.62
2,12.86,29.25,1,12.82,29.12,3,12.88,29.37,4,13.07,29.69
2,11.92,41.17,1,12.00,41.12,3,11.97,41.34,4,11.95,41.64
2,10.06,51.23,1,10.02,51.14,3,10.00,51.34,4,10.71,52.35
2,9.49,1:00.72,1,9.49,1:00.63,3,9.40,1:00.74,4,10.37,1:02.72
3,9.06,1:09.78,1,8.96,1:09.59,2,8.94,1:09.68,4,10.35,1:13.07
3,8.79,1:18.57,1,8.74,1:18.33,2,8.75,1:18.43,4,10.62,1:23.69
3,8.81,1:27.38,1,8.89,1:27.22,2,8.83,1:27.26,4,11.04,1:34.73
3,9.09,1:36.466,2,9.09,1:36.306,1,8.87,1:36.123,4,11.43,1:46.151
