SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,Marc GONZALES POSITION,Marc GONZALES LAP TIME,Marc GONZALES ELAPSED TIME,LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
2,8.67,8.67,5,8.94,8.94,6,9.04,9.04,3,8.83,8.83,7,9.24,9.24,1,8.61,8.61,4,8.91,8.91
4,11.69,20.36,5,11.55,20.49,6,11.46,20.50,3,11.49,20.32,7,11.50,20.74,2,11.62,20.23,1,11.22,20.13
5,10.53,30.89,6,10.48,30.97,2,10.06,30.56,1,10.11,30.43,7,10.38,31.12,4,10.54,30.77,3,10.53,30.66
5,10.15,41.04,6,10.14,41.11,2,10.18,40.74,1,10.18,40.61,7,10.10,41.22,4,10.15,40.92,3,10.16,40.82
5,10.30,51.34,6,10.32,51.43,2,10.30,51.04,1,10.28,50.89,7,10.38,51.60,3,10.20,51.12,4,10.34,51.16
5,9.60,1:00.94,6,9.61,1:01.04,3,9.64,1:00.68,2,9.63,1:00.52,7,9.77,1:01.37,1,9.31,1:00.43,4,9.63,1:00.79
5,9.46,1:10.40,6,9.44,1:10.48,3,9.53,1:10.21,2,9.56,1:10.08,7,9.69,1:11.06,1,9.56,1:09.99,4,9.51,1:10.30
5,9.75,1:20.15,6,9.77,1:20.25,3,9.74,1:19.95,2,9.75,1:19.83,7,9.98,1:21.04,1,9.83,1:19.82,4,9.74,1:20.04
5,9.36,1:29.51,6,9.52,1:29.77,4,9.47,1:29.42,1,9.05,1:28.88,7,10.29,1:31.33,2,9.32,1:29.14,3,9.23,1:29.27
5,8.98,1:38.49,6,9.30,1:39.07,4,8.91,1:38.33,1,9.03,1:37.91,7,10.70,1:42.03,2,8.95,1:38.09,3,8.93,1:38.20
5,8.83,1:47.32,6,9.41,1:48.48,4,8.90,1:47.23,1,8.95,1:46.86,7,11.27,1:53.30,2,8.89,1:46.98,3,8.89,1:47.09
5,8.77,1:56.09,6,9.85,1:58.33,4,8.73,1:55.96,2,8.94,1:55.80,7,13.58,2:06.88,1,8.73,1:55.71,3,8.78,1:55.87
5,9.15,2:05.24,6,10.28,2:08.61,4,9.13,2:05.09,2,9.14,2:04.94,7,11.91,2:18.79,1,9.05,2:04.76,3,9.13,2:05.00
5,9.28,2:14.52,6,11.05,2:19.66,3,9.21,2:14.30,4,9.40,2:14.34,7,12.14,2:30.93,1,9.36,2:14.12,2,9.21,2:14.21
