THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Cheyenne GOH POSITION,Cheyenne GOH LAP TIME,Cheyenne GOH ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME
4,12.53,12.53,3,12.03,12.03,2,11.89,11.89,5,13.02,13.02,1,11.68,
4,13.73,26.26,3,14.07,26.10,2,14.12,26.01,5,13.48,26.50,1,14.18,
4,13.18,39.44,3,13.19,39.29,2,13.18,39.19,5,13.13,39.63,1,13.20,
4,12.67,52.11,3,12.67,51.96,2,12.66,51.85,5,12.62,52.25,1,12.66,
4,12.18,1:04.29,3,12.22,1:04.18,2,12.22,1:04.07,5,12.21,1:04.46,1,12.24,
4,11.88,1:16.17,3,11.88,1:16.06,2,11.89,1:15.96,5,11.85,1:16.31,1,11.91,
4,11.36,1:27.53,3,11.37,1:27.43,2,11.34,1:27.30,5,11.37,1:27.68,1,11.34,
3,10.50,1:38.03,4,10.63,1:38.06,2,10.68,1:37.98,5,10.45,1:38.13,1,10.69,
1,9.92,1:47.95,5,10.36,1:48.42,4,10.38,1:48.36,2,9.94,1:48.07,3,10.41,
1,10.24,1:58.19,5,10.29,1:58.71,4,10.19,1:58.55,2,10.20,1:58.27,3,10.13,
1,10.30,2:08.49,5,10.24,2:08.95,3,10.20,2:08.75,2,10.33,2:08.60,4,10.43,
2,10.05,2:18.54,5,10.37,2:19.32,3,10.23,2:18.98,1,9.75,2:18.35,4,10.31,
2,9.92,2:28.46,4,10.37,2:29.69,3,10.35,2:29.33,1,9.49,2:27.84,4,10.51,
2,10.10,2:38.554,4,11.13,2:40.802,3,10.76,2:40.076,1,9.62,2:37.446,5,12.71,
