Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
1,6.79,6.79,2,6.98,6.98,3,7.09,7.09,4,7.25,7.25
1,8.94,15.73,2,8.84,15.82,3,8.84,15.93,4,8.85,16.10
2,8.76,24.49,4,17.80,33.62,1,8.45,24.38,3,8.46,24.56
3,8.90,33.39,4,17.47,51.09,1,8.80,33.18,2,8.64,33.20
1,8.80,42.186,4,13.37,1:04.460,3,29.58,1:02.758,2,9.00,42.193
