Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,German Andres TIRADO OVIEDO POSITION,German Andres TIRADO OVIEDO LAP TIME,German Andres TIRADO OVIEDO ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,ARADHYA Akash POSITION,ARADHYA Akash LAP TIME,ARADHYA Akash ELAPSED TIME
2,12.26,12.26,1,12.15,12.15,3,12.62,12.62,4,12.75,12.75,5,12.88,12.88
2,9.22,21.48,1,9.24,21.39,5,9.55,22.17,3,9.08,21.83,4,9.06,21.94
2,9.40,30.88,1,9.42,30.81,5,9.08,31.25,3,9.16,30.99,4,9.13,31.07
1,9.43,40.31,1,9.50,40.31,5,9.45,40.70,3,9.47,40.46,4,9.51,40.58
1,8.83,49.14,3,9.15,49.46,5,9.24,49.94,2,8.83,49.29,4,9.25,49.83
1,8.89,58.03,3,8.85,58.31,5,9.47,59.41,2,8.83,58.12,4,9.51,59.34
2,8.96,1:06.99,3,8.90,1:07.21,4,9.98,1:09.39,1,8.73,1:06.85,5,10.06,1:09.40
2,9.03,1:16.02,3,9.40,1:16.61,4,10.49,1:19.88,1,9.08,1:15.93,5,10.93,1:20.33
2,9.33,1:25.322,3,10.05,1:26.647,4,10.73,1:30.588,1,9.28,1:25.191,5,11.79,1:32.104
