Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Tamas TUTRAI POSITION,Tamas TUTRAI LAP TIME,Tamas TUTRAI ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Anton SIMON POSITION,Anton SIMON LAP TIME,Anton SIMON ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME
0,8.966,8.966,0,9.381,9.381,0,8.857,8.857,0,9.403,9.403,0,9.465,9.465,0,9.865,9.865,0,9.808,9.808
0,12.760,21.726,0,12.679,22.061,0,12.822,21.679,0,12.621,22.023,0,12.387,21.851,0,12.402,22.266,0,12.382,22.189
0,12.251,33.977,0,12.266,34.327,0,12.498,34.177,0,12.199,34.222,0,12.600,34.451,0,12.298,34.564,0,12.395,34.584
0,12.045,46.022,0,12.026,46.353,0,11.881,46.058,0,12.076,46.298,0,11.691,46.142,0,11.913,46.477,0,12.053,46.637
0,11.684,57.706,0,11.580,57.933,0,11.746,57.804,0,11.633,57.931,0,11.638,57.781,0,11.586,58.063,0,11.594,58.231
0,10.466,1:08.172,0,10.524,1:08.456,0,10.241,1:08.045,0,21.361,1:19.292,0,10.184,1:07.964,0,10.407,1:08.470,0,10.262,1:08.494
0,10.429,1:18.601,0,10.220,1:18.676,0,10.298,1:18.343,0,11.437,1:30.729,0,10.457,1:18.421,0,10.315,1:18.785,0,10.317,1:18.811
0,10.235,1:28.836,0,10.395,1:29.071,0,10.397,1:28.740,0,10.363,1:41.091,0,10.133,1:28.554,0,10.232,1:29.017,0,10.280,1:29.091
0,9.985,1:38.821,0,9.981,1:39.052,0,9.999,1:38.739,0,10.234,1:51.325,0,10.428,1:38.982,0,10.009,1:39.027,0,9.912,1:39.003
0,9.741,1:48.562,0,9.672,1:48.724,0,9.912,1:48.651,0,10.254,2:01.579,0,9.000,1:47.982,0,17.181,1:56.207,0,9.774,1:48.777
0,9.662,1:58.224,0,9.315,1:58.038,0,9.588,1:58.239,0,10.298,2:11.877,0,9.817,1:57.799,0,15.616,2:11.823,0,9.601,1:58.378
0,9.394,2:07.618,0,9.515,2:07.553,0,9.528,2:07.767,0,10.238,2:22.115,0,9.635,2:07.435,0,10.119,2:21.943,0,9.483,2:07.861
0,9.660,2:17.278,0,9.682,2:17.235,0,9.840,2:17.607,0,10.163,2:32.278,0,10.272,2:17.706,0,9.956,2:31.898,0,9.725,2:17.587
0,9.883,2:27.160,0,9.955,2:27.190,0,10.646,2:28.253,0,10.751,2:43.029,0,10.099,2:27.806,0,10.792,2:42.690,0,9.734,2:27.321
