Karolina REGUCKA POSITION,Karolina REGUCKA LAP TIME,Karolina REGUCKA ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Anouk ZOUTENDIJK POSITION,Anouk ZOUTENDIJK LAP TIME,Anouk ZOUTENDIJK ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME
1,10.941,10.941,2,11.066,11.066,3,11.253,11.253,4,11.406,11.406,5,11.523,11.523
3,15.869,26.810,2,15.534,26.601,1,15.341,26.594,4,15.446,26.852,5,15.606,27.129
3,13.873,40.684,1,13.737,40.337,2,13.919,40.513,4,13.988,40.840,5,13.848,40.976
3,12.595,53.278,1,12.728,53.065,2,12.567,53.079,4,12.535,53.374,5,12.552,53.528
3,11.765,1:05.043,1,11.772,1:04.838,2,11.829,1:04.908,4,11.700,1:05.074,5,11.715,1:05.243
3,11.226,1:16.270,1,11.318,1:16.156,2,11.341,1:16.249,4,11.259,1:16.333,5,11.389,1:16.632
3,10.919,1:27.189,2,10.894,1:27.049,1,10.713,1:26.962,4,10.969,1:27.301,5,10.885,1:27.517
3,10.271,1:37.460,1,10.245,1:37.294,2,10.389,1:37.352,4,10.225,1:37.526,5,10.595,1:38.112
2,10.114,1:47.574,1,10.249,1:47.543,3,10.254,1:47.606,4,10.197,1:47.724,5,10.852,1:48.964
2,9.993,1:57.567,1,9.981,1:57.525,3,10.097,1:57.703,4,10.022,1:57.746,5,11.212,2:00.176
2,10.169,2:07.737,1,10.164,2:07.688,3,10.054,2:07.757,4,10.134,2:07.880,5,11.591,2:11.767
1,10.148,2:17.884,2,10.204,2:17.893,3,10.212,2:17.969,4,10.233,2:18.113,5,11.895,2:23.662
2,10.500,2:28.384,1,10.490,2:28.382,3,10.575,2:28.543,4,10.542,2:28.655,5,12.572,2:36.233
1,10.671,2:39.055,2,10.694,2:39.076,3,10.608,2:39.151,4,10.658,2:39.312,5,12.883,2:49.116
