Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME,MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME,Hazim SHAHRUM POSITION,Hazim SHAHRUM LAP TIME,Hazim SHAHRUM ELAPSED TIME,Jan POSAVEC POSITION,Jan POSAVEC LAP TIME,Jan POSAVEC ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,KOIKE Katsunori POSITION,KOIKE Katsunori LAP TIME,KOIKE Katsunori ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME
3,10.39,10.39,2,10.26,,4,10.40,10.40,6,10.69,10.69,5,10.52,10.52,1,10.11,10.11,7,10.84,10.84
4,13.23,23.62,3,13.25,,2,13.04,23.44,6,13.23,23.92,5,13.25,23.77,1,13.28,23.39,7,13.32,24.16
4,11.78,35.40,3,11.75,,1,11.60,35.04,6,11.72,35.64,5,11.74,35.51,2,11.77,35.16,7,11.68,35.84
4,12.02,47.42,3,12.03,,1,11.95,46.99,6,12.03,47.67,5,12.01,47.52,2,12.00,47.16,7,11.98,47.82
4,11.84,59.26,3,11.84,,1,11.89,58.88,6,11.76,59.43,5,11.82,59.34,2,11.85,59.01,7,11.73,59.55
5,11.17,1:10.43,4,11.20,,3,11.35,1:10.23,6,11.30,1:10.73,1,10.77,1:10.11,2,11.16,1:10.17,7,11.19,1:10.74
1,9.88,1:20.31,4,10.17,,6,10.57,1:20.80,7,10.50,1:21.23,3,10.28,1:20.39,2,10.18,1:20.35,5,9.98,1:20.72
1,9.83,1:30.14,4,9.95,,6,10.36,1:31.16,7,10.59,1:31.82,3,9.93,1:30.32,2,9.87,1:30.22,5,9.83,1:30.55
1,9.74,1:39.88,4,9.69,,6,10.36,1:41.52,7,10.66,1:42.48,3,9.73,1:40.05,2,9.74,1:39.96,5,9.79,1:40.34
2,9.52,1:49.40,4,9.55,,5,10.60,1:52.12,6,10.93,1:53.41,7,21.73,2:01.78,1,9.23,1:49.19,3,9.23,1:49.57
3,9.55,1:58.95,4,9.84,,5,10.86,2:02.98,6,11.77,2:05.18,7,17.19,2:18.97,1,9.29,1:58.48,2,9.37,1:58.94
3,9.66,2:08.61,4,9.63,,5,11.00,2:13.98,6,12.34,2:17.52,7,12.37,2:31.34,1,9.53,2:08.01,2,9.09,2:08.03
3,9.84,2:18.45,4,9.66,,5,11.53,2:25.51,6,12.12,2:29.64,7,11.14,2:42.48,2,9.47,2:17.48,1,9.35,2:17.38
3,10.00,2:28.435,4,9.76,,5,11.39,2:36.90,5,11.80,2:41.422,6,10.75,2:53.200,2,9.71,2:27.173,1,9.75,2:27.111
