Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Anke HARTMANN POSITION,Anke HARTMANN LAP TIME,Anke HARTMANN ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
3,7.49,7.49,4,7.62,7.62,2,7.40,7.40,1,7.32,7.32,5,8.09,8.09
3,10.09,17.59,4,10.15,17.77,2,10.17,17.57,1,9.53,16.86,5,9.77,17.86
2,9.42,27.01,3,9.46,27.23,4,9.66,27.24,1,9.28,26.14,5,9.49,27.35
2,9.49,36.50,3,9.54,36.78,4,9.54,36.79,1,9.45,35.60,5,9.60,36.95
2,10.13,46.628,3,9.86,46.632,4,9.93,46.719,1,9.74,45.339,5,9.93,46.877
