Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME
2,15.67,15.67,1,15.56,15.56,3,15.82,15.82
2,11.36,27.03,1,11.34,26.90,3,11.33,27.15
2,10.67,37.70,1,10.69,37.59,3,10.67,37.82
2,10.58,48.28,1,10.59,48.18,3,10.59,48.41
2,10.57,58.85,1,10.55,58.73,3,10.55,58.96
2,10.31,1:09.16,1,10.33,1:09.06,3,10.31,1:09.27
2,10.03,1:19.19,1,10.08,1:19.14,3,10.10,1:19.37
1,9.74,1:28.93,2,10.00,1:29.14,3,10.00,1:29.37
1,9.85,1:38.774,2,9.99,1:39.126,3,10.19,1:39.551
