Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,WANG Wei POSITION,WANG Wei LAP TIME,WANG Wei ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Polona PEUNIK POSITION,Polona PEUNIK LAP TIME,Polona PEUNIK ELAPSED TIME,Alanna KRAUS POSITION,Alanna KRAUS LAP TIME,Alanna KRAUS ELAPSED TIME
2,10.507,10.507,5,10.855,10.855,1,10.501,10.501,4,10.660,10.660,3,10.620,10.620
3,13.810,24.317,5,13.692,24.546,1,13.626,24.126,4,13.806,24.465,2,13.682,24.302
3,12.609,36.925,5,12.631,37.177,1,12.716,36.842,4,12.668,37.133,2,12.567,36.869
5,12.296,49.221,2,11.919,49.096,1,12.195,49.036,4,12.066,49.199,3,12.243,49.111
2,10.734,59.954,5,11.088,1:00.183,3,10.929,59.965,4,10.964,1:00.162,1,10.814,59.925
1,10.184,1:10.138,4,10.389,1:10.572,3,10.239,1:10.204,5,10.707,1:10.869,2,10.271,1:10.195
2,10.186,1:20.324,4,9.967,1:20.538,1,10.047,1:20.250,5,10.780,1:21.649,3,10.148,1:20.343
2,10.224,1:30.547,4,10.188,1:30.726,1,10.174,1:30.424,5,11.186,1:32.834,3,10.242,1:30.585
2,10.105,1:40.652,4,10.101,1:40.826,1,10.056,1:40.479,5,11.274,1:44.108,3,10.148,1:40.733
3,10.098,1:50.749,4,10.059,1:50.885,1,10.123,1:50.602,5,11.552,1:55.659,2,10.003,1:50.735
2,9.755,2:00.504,4,9.797,2:00.681,1,9.868,2:00.469,5,11.506,2:07.165,3,9.901,2:00.636
1,9.852,2:10.355,3,9.883,2:10.563,2,10.043,2:10.512,5,11.602,2:18.766,4,9.973,2:10.609
2,9.938,2:20.293,1,9.700,2:20.263,3,9.969,2:20.480,5,12.572,2:31.338,4,9.888,2:20.497
3,10.35,2:30.640,1,9.87,2:30.125,4,10.59,2:31.062,5,12.12,2:43.451,2,9.99,2:30.484
