SOMOGYI Barbara POSITION,SOMOGYI Barbara LAP TIME,SOMOGYI Barbara ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME,Yuliia BERESNEVA POSITION,Yuliia BERESNEVA LAP TIME,Yuliia BERESNEVA ELAPSED TIME,Avalon AARDOOM POSITION,Avalon AARDOOM LAP TIME,Avalon AARDOOM ELAPSED TIME
1,8.90,8.90,3,9.24,9.24,2,9.07,9.07,4,9.43,9.43,5,9.58,9.58
1,12.81,21.71,3,12.78,22.02,2,12.81,21.88,4,12.68,22.11,5,12.68,22.26
1,12.63,34.34,3,12.64,34.66,2,12.62,34.50,4,12.67,34.78,5,12.64,34.90
1,12.64,46.98,3,12.67,47.33,2,12.61,47.11,4,12.67,47.45,5,12.71,47.61
1,12.35,59.33,2,12.05,59.38,3,12.31,59.42,4,12.12,59.57,5,12.15,59.76
3,10.76,1:10.09,1,10.63,1:10.01,4,10.69,1:10.11,1,10.44,1:10.01,5,10.45,1:10.21
3,10.02,1:20.11,2,9.99,1:20.00,3,10.00,1:20.11,1,9.89,1:19.90,5,10.01,1:20.22
4,10.03,1:30.14,2,10.04,1:30.04,5,10.12,1:30.23,1,10.03,1:29.93,3,9.89,1:30.11
4,9.88,1:40.02,2,9.60,1:39.64,5,9.81,1:40.04,3,9.72,1:39.65,1,9.43,1:39.54
5,9.97,1:49.99,2,9.48,1:49.12,4,9.86,1:49.90,3,9.56,1:49.21,1,9.51,1:49.05
5,10.06,2:00.05,1,9.56,1:58.68,4,9.93,1:59.83,2,9.52,1:58.73,3,9.79,1:58.84
3,10.08,2:10.13,1,9.87,2:08.55,2,10.21,2:10.04,4,28.87,2:27.60,5,29.71,2:28.55
3,10.56,2:20.69,1,10.14,2:18.69,2,10.60,2:20.64,5,17.38,2:44.98,4,15.49,2:44.04
2,10.52,2:31.21,1,10.74,2:29.43,3,10.86,2:31.503,5,13.63,2:58.613,4,13.03,2:57.07
