HAN Seung Soo POSITION,HAN Seung Soo LAP TIME,HAN Seung Soo ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
4,14.93,14.93,2,14.78,14.78,3,14.89,14.89,1,14.74,14.74
2,10.86,25.79,1,10.99,25.77,3,10.93,25.82,4,11.25,25.99
2,9.68,35.47,3,9.73,35.50,1,9.65,35.47,4,9.66,35.65
1,9.59,45.06,2,9.63,45.13,3,9.75,45.22,4,9.65,45.30
1,9.22,54.28,3,9.32,54.45,2,9.12,54.34,4,9.20,54.50
1,8.91,1:03.19,3,8.92,1:03.37,2,8.92,1:03.26,4,8.98,1:03.48
1,8.80,1:11.99,3,8.80,1:12.17,2,8.83,1:12.09,4,8.75,1:12.23
1,8.82,1:20.81,3,8.83,1:21.00,2,8.84,1:20.93,4,8.79,1:21.02
1,8.86,1:29.664,4,8.89,1:29.884,2,8.79,1:29.714,3,8.81,1:29.821
