Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME
1,14.21,14.21,3,14.32,14.32,2,14.31,14.31,4,14.46,14.46
3,10.93,25.14,2,10.79,25.11,1,10.75,25.06,4,10.88,25.34
3,10.13,35.27,1,9.95,35.06,2,10.11,35.17,4,10.06,35.40
2,9.76,45.03,4,10.07,45.13,1,9.79,44.96,3,9.72,45.12
2,9.76,54.79,4,9.92,55.05,1,9.76,54.72,3,9.76,54.88
2,9.67,1:04.46,4,9.69,1:04.74,1,9.67,1:04.39,3,9.69,1:04.57
2,9.53,1:13.99,4,9.45,1:14.19,1,9.53,1:13.92,3,9.52,1:14.09
2,9.52,1:23.51,4,9.50,1:23.69,1,9.49,1:23.41,3,9.51,1:23.60
2,9.61,1:33.121,3,9.65,1:33.332,1,9.67,1:33.077,0,,DNF
