DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,Mark CHONG POSITION,Mark CHONG LAP TIME,Mark CHONG ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,KIM Chol Gwang POSITION,KIM Chol Gwang LAP TIME,KIM Chol Gwang ELAPSED TIME
1,6.87,6.87,3,7.38,7.38,2,7.09,7.09,4,7.50,7.50,5,7.61,7.61
1,9.11,15.98,4,9.33,16.71,2,8.97,16.06,3,9.11,16.61,5,9.30,16.91
1,8.49,24.47,4,8.52,25.23,2,8.47,24.53,3,8.49,25.10,5,8.74,25.65
1,8.63,33.10,4,8.56,33.79,1,8.57,33.10,3,8.45,33.55,5,8.85,34.50
0,,PHOTO,4,8.77,42.550,0,,PHOTO,3,8.77,42.32,5,9.16,43.638
