Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Lezleigh JAWORSKI POSITION,Lezleigh JAWORSKI LAP TIME,Lezleigh JAWORSKI ELAPSED TIME
1,7.569,7.569,2,7.822,7.822,3,7.838,7.838,4,7.997,7.997
1,9.956,17.525,2,9.856,17.677,4,9.891,17.729,3,9.732,17.729
1,9.585,27.109,3,9.648,27.325,2,9.540,27.269,4,9.762,27.490
1,10.112,37.220,4,10.224,37.548,2,9.969,37.238,3,9.935,37.425
2,10.15,47.365,4,9.96,47.502,1,9.91,47.146,3,10.02,47.442
