Lasse WILMS POSITION,Lasse WILMS LAP TIME,Lasse WILMS ELAPSED TIME,Darko SMOGAR POSITION,Darko SMOGAR LAP TIME,Darko SMOGAR ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
4,7.71,7.71,3,7.51,7.51,1,7.09,7.09,2,7.10,7.10
4,10.22,17.93,3,9.92,17.43,2,9.35,16.44,1,9.24,16.34
4,9.70,27.63,3,9.81,27.24,2,8.78,25.22,1,8.79,25.13
3,9.90,37.53,4,10.41,37.65,1,8.84,34.06,2,9.01,34.14
3,10.35,47.878,4,10.48,48.125,1,8.90,42.957,2,9.14,43.276
