Thomas MOGENDORFF POSITION,Thomas MOGENDORFF LAP TIME,Thomas MOGENDORFF ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
2,13.140,13.140,4,13.645,13.645,1,13.110,13.110,3,13.313,13.313
1,10.513,23.652,4,10.284,23.928,2,10.574,23.683,3,10.463,23.776
2,10.001,33.653,3,9.853,33.781,1,9.930,33.613,4,10.060,33.835
1,9.604,43.256,3,9.610,43.390,2,9.655,43.267,4,9.606,43.441
2,9.372,52.628,3,9.340,52.729,1,9.346,52.613,4,9.361,52.801
2,9.486,1:02.113,3,9.444,1:02.173,1,9.500,1:02.113,4,9.513,1:02.314
4,9.765,1:11.878,2,9.275,1:11.447,1,9.284,1:11.397,3,9.249,1:11.562
4,9.976,1:21.853,1,9.182,1:20.629,2,9.351,1:20.747,3,9.417,1:20.979
4,10.44,1:32.288,1,9.76,1:30.383,2,9.80,1:30.541,3,9.98,1:30.954
