HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME
4,14.98,14.98,2,14.62,14.62,1,14.48,14.48,3,14.81,14.81
4,11.15,26.13,2,11.22,25.84,1,11.17,25.65,3,11.16,25.97
4,10.55,36.68,2,10.55,36.39,1,10.65,36.30,3,10.55,36.52
4,10.22,46.90,2,10.28,46.67,1,10.23,46.53,3,10.27,46.79
4,9.78,56.68,2,9.81,56.48,1,9.82,56.35,3,9.78,56.57
4,9.69,1:06.37,2,9.73,1:06.21,1,9.74,1:06.09,3,9.70,1:06.27
3,9.43,1:15.80,2,9.58,1:15.79,4,9.96,1:16.05,1,9.19,1:15.46
2,9.40,1:25.20,3,9.71,1:25.50,4,10.32,1:26.37,1,9.29,1:24.75
2,9.54,1:34.74,3,10.08,1:35.58,4,11.36,1:37.73,1,9.72,1:34.47
