Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Ronald CALDECUTT POSITION,Ronald CALDECUTT LAP TIME,Ronald CALDECUTT ELAPSED TIME
1,6.93,6.93,2,7.04,7.04,3,7.17,7.17,4,7.27,7.27
1,9.35,16.28,2,9.30,16.34,3,9.29,16.46,4,9.47,16.74
1,8.75,25.03,2,8.78,25.12,3,8.82,25.28,4,9.21,25.95
2,9.07,34.10,1,8.96,34.08,3,8.98,34.26,4,9.31,35.26
2,9.19,43.288,1,8.98,43.056,3,9.21,43.468,4,9.72,44.976
