Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,FILIPOVA Lucia POSITION,FILIPOVA Lucia LAP TIME,FILIPOVA Lucia ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME
3,14.39,14.39,4,14.56,,2,14.35,14.35,5,14.70,14.70,1,14.27,14.27
1,10.41,24.80,4,10.61,,3,10.64,24.99,5,10.64,25.34,2,10.62,24.89
1,10.64,35.44,4,10.56,,3,10.64,35.63,5,10.49,35.83,2,10.64,35.53
1,10.56,46.00,4,10.53,,3,10.50,46.13,5,10.60,46.43,1,10.47,46.00
2,9.75,55.75,4,9.68,,3,9.70,55.83,5,9.65,56.08,1,9.64,55.64
4,9.94,1:05.69,3,9.73,,2,9.80,1:05.63,5,9.74,1:05.82,1,9.77,1:05.41
2,9.85,1:15.54,5,10.40,,3,10.05,1:15.68,4,10.11,1:15.93,1,9.57,1:14.98
2,9.67,1:25.21,5,10.22,,3,9.75,1:25.43,4,10.11,1:26.04,1,9.63,1:24.61
2,9.79,1:35.00,5,10.65,,3,9.92,1:35.35,4,10.38,1:36.42,1,9.82,1:34.43
