PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
1,6.86,6.86,2,7.01,7.01,3,7.18,7.18,4,7.35,7.35
1,9.09,15.95,2,9.01,16.02,3,8.94,16.12,4,8.91,16.26
2,8.54,24.49,1,8.45,24.47,3,8.49,24.61,4,8.47,24.73
3,8.81,33.30,1,8.66,33.13,2,8.61,33.22,4,8.60,33.33
3,30.38,1:03.673,1,8.80,41.926,2,8.85,42.069,0,,PEN
