Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME
5,8.688,8.688,6,8.812,8.812,2,8.398,8.398,4,8.615,8.615,1,8.326,8.326,3,8.514,8.514
3,11.765,20.453,5,11.706,20.517,4,12.066,20.464,1,11.685,20.300,2,12.032,20.358,6,12.029,20.543
1,9.903,30.356,3,9.951,30.468,4,10.109,30.573,2,10.154,30.454,5,10.418,30.776,6,10.269,30.812
1,10.242,40.598,3,10.341,40.809,6,10.366,40.938,2,10.233,40.687,4,10.038,40.813,5,10.091,40.903
2,9.889,50.487,1,9.561,50.370,5,9.798,50.736,4,10.018,50.705,3,9.806,50.619,6,9.951,50.854
1,9.791,1:00.278,2,9.985,1:00.355,5,9.853,1:00.589,4,9.816,1:00.520,3,9.886,1:00.505,6,9.863,1:00.716
2,9.688,1:09.965,1,9.582,1:09.937,5,9.564,1:10.153,4,9.608,1:10.128,3,9.621,1:10.126,6,9.590,1:10.306
2,9.754,1:19.719,1,9.658,1:19.594,5,9.808,1:19.961,3,9.706,1:19.834,4,9.746,1:19.873,6,9.789,1:20.095
3,9.813,1:29.532,1,9.792,1:29.386,2,9.558,1:29.519,4,9.743,1:29.578,5,9.754,1:29.627,6,9.693,1:29.788
2,9.771,1:39.302,1,9.750,1:39.136,5,10.083,1:39.602,3,9.839,1:39.417,4,9.867,1:39.493,6,9.853,1:39.641
2,9.751,1:49.054,1,9.745,1:48.882,5,9.581,1:49.183,4,9.757,1:49.174,3,9.658,1:49.151,6,9.814,1:49.454
2,9.844,1:58.897,1,9.776,1:58.657,5,9.942,1:59.124,4,9.807,1:58.981,3,9.821,1:58.972,6,10.180,1:59.634
2,9.849,2:08.746,1,9.971,2:08.628,5,9.974,2:09.098,4,9.994,2:08.976,3,9.845,2:08.817,6,10.266,2:09.900
2,10.138,2:18.884,1,10.199,2:18.827,5,10.014,2:19.112,4,10.117,2:19.093,3,10.118,2:18.935,6,10.448,2:20.348
