HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Zbigniew BRODKA POSITION,Zbigniew BRODKA LAP TIME,Zbigniew BRODKA ELAPSED TIME,JONES Ben POSITION,JONES Ben LAP TIME,JONES Ben ELAPSED TIME,KHODYREV Igor POSITION,KHODYREV Igor LAP TIME,KHODYREV Igor ELAPSED TIME,MAI Chia-Hung POSITION,MAI Chia-Hung LAP TIME,MAI Chia-Hung ELAPSED TIME
0,22.273,22.273,0,9.871,9.871,0,9.131,9.131,0,9.401,9.401,0,9.743,9.743,0,8.664,8.664
0,,,0,12.412,22.283,0,12.797,21.927,0,12.438,21.839,0,12.040,21.783,0,13.186,21.849
0,,34.887,0,12.757,35.040,0,12.541,34.468,0,12.810,34.649,0,12.510,34.293,0,12.707,34.556
0,11.819,46.705,0,11.892,46.932,0,11.910,46.378,0,11.830,46.479,0,11.924,46.216,0,11.481,46.037
0,12.082,58.788,0,12.120,59.052,0,12.009,58.387,0,12.051,58.531,0,12.035,58.252,0,12.111,58.147
0,,,0,11.131,1:10.182,0,11.218,1:09.605,0,11.013,1:09.544,0,11.258,1:09.510,0,11.473,1:09.621
0,,1:20.447,0,10.804,1:20.987,0,10.608,1:20.213,0,10.257,1:19.801,0,10.825,1:20.335,0,10.901,1:20.521
0,10.293,1:30.740,0,9.919,1:30.905,0,10.432,1:30.645,0,10.595,1:30.396,0,10.315,1:30.650,0,11.764,1:32.286
0,10.583,1:41.323,0,10.182,1:41.088,0,10.708,1:41.353,0,11.180,1:41.576,0,10.941,1:41.591,0,12.287,1:44.573
0,9.904,1:51.227,0,9.838,1:50.926,0,9.744,1:51.097,0,11.297,1:52.873,0,11.209,1:52.800,0,12.835,1:57.407
0,9.999,2:01.226,0,10.076,2:01.001,0,10.244,2:01.341,0,12.063,2:04.936,0,11.505,2:04.304,0,12.460,2:09.867
0,10.300,2:11.525,0,10.247,2:11.248,0,10.289,2:11.630,0,12.483,2:17.419,0,11.797,2:16.101,0,12.871,2:22.737
0,9.871,2:21.396,0,10.097,2:21.345,0,10.258,2:21.888,0,11.137,2:28.556,0,12.379,2:28.480,0,13.204,2:35.941
0,,,0,,,0,,,0,,,0,,,0,,
