CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Mathieu BERNIER POSITION,Mathieu BERNIER LAP TIME,Mathieu BERNIER ELAPSED TIME,Daniil KRASNOKUTSKII POSITION,Daniil KRASNOKUTSKII LAP TIME,Daniil KRASNOKUTSKII ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,HAYASHI Ibuki POSITION,HAYASHI Ibuki LAP TIME,HAYASHI Ibuki ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME
5,10.80,10.80,3,10.24,10.24,1,9.97,9.97,4,10.51,,2,10.07,10.07,6,11.01,11.01
5,12.31,23.11,3,12.51,22.75,1,12.52,22.49,4,12.45,,2,12.55,22.62,6,12.27,23.28
5,11.52,34.63,3,11.56,34.31,1,11.55,34.04,4,11.52,,2,11.57,34.19,6,11.49,34.77
5,11.13,45.76,3,11.17,45.48,1,11.22,45.26,4,11.15,,2,11.19,45.38,6,11.12,45.89
5,10.94,56.70,3,10.94,56.42,1,10.95,56.21,4,10.94,,2,10.96,56.34,6,10.91,56.80
3,9.98,1:06.68,4,10.37,1:06.79,2,10.43,1:06.64,5,10.41,,1,10.28,1:06.62,6,10.29,1:07.09
1,9.38,1:16.06,4,9.44,1:16.23,2,9.52,1:16.16,5,9.47,,3,9.55,1:16.17,6,9.52,1:16.61
1,9.32,1:25.38,2,9.23,1:25.46,3,9.31,1:25.47,5,9.26,,4,9.38,1:25.55,6,9.25,1:25.86
1,9.06,1:34.44,4,9.25,1:34.71,3,9.16,1:34.63,5,9.13,,2,9.00,1:34.55,6,9.07,1:34.93
1,9.25,1:43.69,4,9.22,1:43.93,3,9.18,1:43.81,6,9.38,,2,9.23,1:43.78,5,9.14,1:44.07
1,9.24,1:52.93,3,9.30,1:53.23,2,9.19,1:53.00,5,9.19,,6,19.77,2:03.55,4,9.23,1:53.30
1,9.32,2:02.25,4,9.36,2:02.59,2,9.36,2:02.36,5,9.35,,6,17.16,2:20.71,3,9.11,2:02.41
2,9.63,2:11.88,4,9.49,2:12.08,3,9.62,2:11.98,5,9.41,,6,10.59,2:31.30,1,8.99,2:11.40
2,9.91,2:21.79,5,28.78,2:40.86,4,26.46,2:38.44,3,9.80,,6,10.52,2:41.82,1,9.28,2:20.68
