Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,COOPER Gemma POSITION,COOPER Gemma LAP TIME,COOPER Gemma ELAPSED TIME,TITKINA Anna POSITION,TITKINA Anna LAP TIME,TITKINA Anna ELAPSED TIME,NIKOLOVA  (DUPL) Marina POSITION,NIKOLOVA  (DUPL) Marina LAP TIME,NIKOLOVA  (DUPL) Marina ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,SUN Linlin POSITION,SUN Linlin LAP TIME,SUN Linlin ELAPSED TIME,LANSER Erica POSITION,LANSER Erica LAP TIME,LANSER Erica ELAPSED TIME
0,14.912,14.912,0,14.877,14.877,0,14.472,14.472,0,13.972,13.972,0,14.467,14.467,0,15.084,15.084,0,15.156,15.156
0,11.567,26.479,0,11.772,26.649,0,11.710,26.182,0,11.983,25.955,0,11.705,26.172,0,11.236,26.320,0,11.416,26.572
0,15.806,42.285,0,14.183,40.832,0,14.075,40.257,0,14.129,40.084,0,14.089,40.260,0,14.266,40.586,0,14.185,40.756
0,11.352,53.637,0,12.891,53.723,0,12.586,52.843,0,13.459,53.543,0,12.697,52.957,0,12.586,53.172,0,12.956,53.712
0,12.032,1:05.669,0,12.312,1:06.035,0,12.732,1:05.576,0,11.983,1:05.526,0,12.227,1:05.184,0,12.414,1:05.586,0,12.342,1:06.054
0,12.597,1:18.266,0,12.736,1:18.771,0,12.893,1:18.468,0,12.942,1:18.467,0,13.567,1:18.751,0,12.752,1:18.338,0,12.654,1:18.708
0,14.551,1:32.817,0,14.167,1:32.938,0,14.430,1:32.898,0,14.786,1:33.253,0,14.346,1:33.098,0,14.363,1:32.701,0,13.714,1:32.422
0,12.809,1:45.627,0,12.960,1:45.898,0,13.153,1:46.051,0,13.079,1:46.332,0,12.934,1:46.031,0,13.061,1:45.761,0,11.385,1:43.806
0,13.262,1:58.889,0,13.353,1:59.251,0,13.163,1:59.214,0,12.802,1:59.134,0,12.743,1:58.774,0,13.172,1:58.933,0,22.599,2:06.405
0,11.852,2:10.740,0,11.859,2:11.110,0,13.743,2:12.957,0,12.205,2:11.339,0,11.865,2:10.639,0,11.810,2:10.743,0,11.137,2:17.542
0,12.050,2:22.791,0,11.897,2:23.007,0,10.220,2:23.177,0,11.460,2:22.799,0,12.014,2:22.653,0,11.921,2:22.664,0,11.470,2:29.012
0,11.675,2:34.465,0,11.827,2:34.834,0,11.871,2:35.048,0,11.929,2:34.727,0,11.789,2:34.441,0,11.799,2:34.463,0,11.411,2:40.423
0,11.868,2:46.333,0,11.714,2:46.547,0,11.841,2:46.889,0,11.553,2:46.280,0,11.764,2:46.205,0,11.867,2:46.330,0,,
0,11.829,2:58.161,0,11.883,2:58.430,0,12.106,2:58.995,0,11.920,2:58.200,0,11.867,2:58.072,0,11.792,2:58.122,0,,2:52.271
0,12.536,3:10.698,0,12.360,3:10.790,0,12.290,3:11.285,0,12.402,3:10.602,0,13.122,3:11.194,0,12.665,3:10.787,0,12.244,3:04.515
0,13.634,3:24.332,0,13.632,3:24.421,0,13.116,3:24.402,0,13.457,3:24.059,0,13.597,3:24.792,0,13.484,3:24.271,0,12.216,3:16.731
0,13.020,3:37.351,0,13.512,3:37.934,0,13.588,3:37.990,0,13.289,3:37.347,0,13.266,3:38.058,0,,,0,12.646,3:29.377
0,12.108,3:49.460,0,11.861,3:49.795,0,13.055,3:51.045,0,12.105,3:49.453,0,11.891,3:49.949,0,,3:49.861,0,12.125,3:41.502
0,12.064,4:01.524,0,33.798,4:23.593,0,13.468,4:04.513,0,12.229,4:01.681,0,11.915,4:01.864,0,11.892,4:01.753,0,12.550,3:54.052
0,11.590,4:13.114,0,13.791,4:37.384,0,13.864,4:18.376,0,11.494,4:13.175,0,11.799,4:13.664,0,11.616,4:13.369,0,12.607,4:06.659
0,11.435,4:24.549,0,12.223,4:49.607,0,14.730,4:33.106,0,11.635,4:24.810,0,11.357,4:25.020,0,11.442,4:24.811,0,12.890,4:19.549
0,10.856,4:35.405,0,12.574,5:02.181,0,14.681,4:47.788,0,10.932,4:35.742,0,10.933,4:35.953,0,10.897,4:35.708,0,12.649,4:32.198
0,10.519,4:45.924,0,12.374,5:14.554,0,14.673,5:02.461,0,10.653,4:46.395,0,10.445,4:46.399,0,10.529,4:46.237,0,12.792,4:44.990
0,10.499,4:56.423,0,13.310,5:27.864,0,15.423,5:17.884,0,10.508,4:56.903,0,10.476,4:56.875,0,10.209,4:56.446,0,13.432,4:58.422
0,10.425,5:06.848,0,12.643,5:40.507,0,17.199,5:35.083,0,9.893,5:06.796,0,10.723,5:07.598,0,10.065,5:06.512,0,13.643,5:12.065
0,10.394,5:17.241,0,15.343,5:55.850,0,12.601,5:47.684,0,9.878,5:16.674,0,10.917,5:18.515,0,10.103,5:16.615,0,13.915,5:25.980
0,,,0,,,0,,,0,,,0,,,0,,,0,,
