GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Yuna KOIKE POSITION,Yuna KOIKE LAP TIME,Yuna KOIKE ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME
2,13.71,13.71,1,13.63,13.63,4,14.04,14.04,3,13.91,13.91
2,10.89,24.60,1,10.92,24.55,4,10.86,24.90,3,10.86,24.77
2,10.75,35.35,1,10.80,35.35,4,10.71,35.61,3,10.66,35.43
1,9.50,44.85,2,9.56,44.91,4,9.49,45.10,3,9.55,44.98
1,9.16,54.01,2,9.35,54.26,4,9.40,54.50,3,9.37,54.35
1,9.54,1:03.55,2,9.42,1:03.68,4,9.42,1:03.92,3,9.41,1:03.76
1,9.61,1:13.16,2,9.60,1:13.28,4,9.55,1:13.47,3,9.58,1:13.34
1,9.69,1:22.85,2,9.73,1:23.01,4,9.79,1:23.26,3,9.75,1:23.09
2,10.01,1:32.858,1,9.84,1:32.844,4,9.94,1:33.198,3,9.78,1:32.863
