CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME
1,7.28,7.28,3,7.42,7.42,4,7.45,7.45,2,7.34,7.34
2,9.36,16.64,3,9.49,16.91,4,9.61,17.06,1,9.17,16.51
2,8.76,25.40,3,8.85,25.76,4,8.89,25.95,1,8.81,25.32
2,8.97,34.37,3,8.91,34.67,4,8.98,34.93,1,8.92,34.24
2,9.04,43.41,3,9.14,43.81,4,9.11,44.04,1,9.10,43.34
