LEE So Youn POSITION,LEE So Youn LAP TIME,LEE So Youn ELAPSED TIME,LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME
5,13.51,13.51,2,13.29,13.29,3,13.37,13.37,1,13.18,13.18,4,13.40,13.40
5,9.96,23.47,1,9.92,23.21,3,10.00,23.37,2,10.07,23.25,4,9.98,23.38
4,9.94,33.41,1,9.89,33.10,3,9.94,33.31,2,9.95,33.20,5,10.16,33.54
4,9.95,43.36,1,10.00,43.10,3,9.94,43.25,2,10.00,43.20,5,9.93,43.47
3,9.58,52.94,1,9.56,52.66,4,9.77,53.02,2,9.58,52.78,5,9.79,53.26
3,9.61,1:02.55,1,9.68,1:02.34,4,9.67,1:02.69,2,9.66,1:02.44,5,10.14,1:03.40
3,9.76,1:12.31,1,9.80,1:12.14,4,9.70,1:12.39,2,9.80,1:12.24,5,10.68,1:14.08
3,9.93,1:22.24,2,10.07,1:22.21,4,9.99,1:22.38,1,9.75,1:21.99,5,11.16,1:25.24
2,9.93,1:32.167,3,10.18,1:32.389,4,10.18,1:32.553,1,9.82,1:31.800,5,11.35,1:36.581
