Yoshiharu ARINO POSITION,Yoshiharu ARINO LAP TIME,Yoshiharu ARINO ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Robbert-Kees BOER POSITION,Robbert-Kees BOER LAP TIME,Robbert-Kees BOER ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME
2,8.6332,8.6332,7,9.8262,9.8262,3,8.6425,8.6425,6,9.6798,9.6798,4,8.8132,8.8132,1,8.3171,8.3171,5,9.3503,9.3503
3,11.7510,20.3842,7,11.6387,21.4649,1,11.5560,20.1985,6,11.5493,21.2291,4,11.8622,20.6754,2,12.0634,20.3805,5,11.6605,21.0108
2,11.3204,31.7046,7,11.0690,32.5339,5,11.8589,32.0574,6,11.0250,32.2541,4,11.1564,31.8318,1,10.9382,31.3187,3,10.7589,31.7697
2,10.7333,42.4379,6,10.2994,42.8333,5,10.6888,42.7462,7,10.8677,43.1218,3,10.6322,42.4640,1,10.7054,42.0241,4,10.7312,42.5009
5,10.6018,53.0397,7,10.6767,53.5100,3,10.2149,52.9611,6,10.1802,53.3020,2,10.2934,52.7574,1,10.0130,52.0371,4,10.4844,52.9853
4,9.8573,1:02.8970,7,10.2581,1:03.7681,3,9.8452,1:02.8063,6,10.0179,1:03.3199,2,9.8817,1:02.6391,1,10.1593,1:02.1964,5,9.9801,1:02.9654
3,9.9005,1:12.7975,7,9.6543,1:13.4224,2,9.6566,1:12.4629,6,9.8319,1:13.1518,4,10.1852,1:12.8243,1,10.2073,1:12.4037,5,10.0124,1:12.9778
2,9.9936,1:22.7911,5,9.9506,1:23.3730,3,10.4751,1:22.9380,6,10.2642,1:23.4160,7,10.6408,1:23.4651,1,10.1244,1:22.5281,4,9.9602,1:22.9380
3,9.9303,1:32.7214,6,10.0604,1:33.4334,2,9.6672,1:32.6052,7,10.0214,1:33.4374,4,9.6024,1:33.0675,1,9.8804,1:32.4085,5,10.2491,1:33.1871
3,9.7687,1:42.4901,7,9.6840,1:43.1174,2,9.7835,1:42.3887,6,9.6447,1:43.0821,4,9.6587,1:42.7262,1,9.5520,1:41.9605,5,9.6490,1:42.8361
3,9.6630,1:52.1531,5,9.3970,1:52.5144,2,9.6413,1:52.0300,6,9.4427,1:52.5248,4,9.6743,1:52.4005,1,9.5419,1:51.5024,7,9.8359,1:52.6720
1,9.3993,2:01.5524,4,9.3052,2:01.8196,3,9.7632,2:01.7932,5,9.4758,2:02.0006,6,10.0937,2:02.4942,2,10.0996,2:01.6020,7,9.9584,2:02.6304
4,9.8940,2:11.4464,3,9.6052,2:11.4248,5,9.8007,2:11.5939,2,9.3862,2:11.3868,6,9.8816,2:12.3758,1,9.7442,2:11.3462,7,10.1992,2:12.8296
3,10.22,2:21.665,1,9.35,2:20.773,5,11.04,2:22.635,2,9.65,2:21.036,6,10.67,2:23.046,4,10.53,2:21.874,7,11.48,2:24.303
