KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME
2,10.06,10.06,4,10.49,10.49,5,10.65,10.65,1,9.83,9.83,3,10.23,10.23,6,10.83,10.83
2,13.24,23.30,4,13.10,23.59,5,13.05,23.70,1,13.32,23.15,3,13.19,23.42,6,13.04,23.87
2,12.27,35.57,4,12.26,35.85,5,12.29,35.99,1,12.29,35.44,3,12.27,35.69,6,12.28,36.15
2,12.10,47.67,4,12.03,47.88,6,11.98,47.97,1,12.13,47.57,3,12.05,47.74,5,11.78,47.93
2,11.15,58.82,5,11.40,59.28,6,11.51,59.48,3,11.32,58.89,4,11.32,59.06,1,10.88,58.81
1,10.11,1:08.93,5,10.11,1:09.39,6,10.02,1:09.50,3,10.24,1:09.13,4,10.20,1:09.26,2,10.22,1:09.03
1,9.82,1:18.75,6,9.86,1:19.25,4,9.56,1:19.06,3,9.88,1:19.01,5,9.87,1:19.13,2,9.89,1:18.92
2,9.51,1:28.26,6,9.38,1:28.63,1,9.19,1:28.25,4,9.44,1:28.45,5,9.43,1:28.56,3,9.44,1:28.36
2,9.34,1:37.60,5,9.22,1:37.85,1,9.24,1:37.49,6,9.43,1:37.88,4,9.20,1:37.76,3,9.34,1:37.70
2,9.03,1:46.63,5,8.99,1:46.84,1,9.06,1:46.55,6,9.15,1:47.03,3,8.94,1:46.70,4,9.09,1:46.79
2,8.95,1:55.58,4,9.02,1:55.86,1,8.93,1:55.48,5,9.08,1:56.11,3,9.01,1:55.71,6,9.41,1:56.20
1,8.78,2:04.36,4,8.87,2:04.73,2,8.90,2:04.38,5,9.50,2:05.61,3,8.79,2:04.50,6,9.47,2:05.67
1,8.93,2:13.29,4,8.86,2:13.59,2,9.00,2:13.38,5,9.79,2:15.40,3,8.97,2:13.47,6,9.82,2:15.49
1,9.26,2:22.544,4,9.53,2:23.119,3,9.42,2:22.796,5,10.12,2:25.518,2,9.24,2:22.706,6,10.10,2:25.587
