Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,KIM Gun Woo POSITION,KIM Gun Woo LAP TIME,KIM Gun Woo ELAPSED TIME,Teppei KIKUCHI POSITION,Teppei KIKUCHI LAP TIME,Teppei KIKUCHI ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME
2,12.71,12.71,1,12.69,12.69,5,13.14,13.14,3,12.82,12.82,4,12.99,12.99
3,9.75,22.46,1,9.58,22.27,5,9.55,22.69,2,9.56,22.38,4,9.59,22.58
1,9.05,31.51,1,9.24,31.51,4,9.11,31.80,3,9.32,31.70,5,9.38,31.96
1,8.82,40.33,3,8.92,40.43,4,8.84,40.64,2,8.71,40.41,5,8.83,40.79
1,8.91,49.24,3,9.03,49.46,4,8.99,49.63,2,8.94,49.35,5,8.95,49.74
1,8.95,58.19,3,8.98,58.44,4,8.93,58.56,2,8.97,58.32,5,8.96,58.70
1,8.99,1:07.18,3,8.90,1:07.34,4,8.83,1:07.39,2,8.98,1:07.30,5,9.08,1:07.78
2,9.10,1:16.28,4,9.19,1:16.53,1,8.69,1:16.08,3,9.06,1:16.36,5,9.43,1:17.21
2,9.22,1:25.50,4,9.11,1:25.64,1,8.96,1:25.04,3,9.24,1:25.60,5,9.81,1:27.02
