Anne-Sophie DAVREUX POSITION,Anne-Sophie DAVREUX LAP TIME,Anne-Sophie DAVREUX ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Tjasa KROFLIC POSITION,Tjasa KROFLIC LAP TIME,Tjasa KROFLIC ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME
4,8.59,8.59,1,8.26,8.26,5,8.72,8.72,2,8.34,8.34,3,8.51,8.51
4,11.99,20.58,1,12.07,20.33,5,11.95,20.67,2,12.07,20.41,3,12.02,20.53
4,12.25,32.83,1,12.23,32.56,5,12.31,32.98,2,12.22,32.63,3,12.21,32.74
4,11.62,44.45,2,11.67,44.23,5,11.60,44.58,1,11.51,44.14,3,11.62,44.36
4,11.37,55.82,2,11.42,55.65,5,11.38,55.96,1,11.37,55.51,3,11.40,55.76
4,11.63,1:07.45,2,11.62,1:07.27,5,11.66,1:07.62,1,11.62,1:07.13,3,11.63,1:07.39
4,11.31,1:18.76,2,11.30,1:18.57,5,11.32,1:18.94,1,11.30,1:18.43,3,11.30,1:18.69
4,10.39,1:29.15,1,10.19,1:28.76,5,11.02,1:29.96,2,10.46,1:28.89,3,10.32,1:29.01
4,9.93,1:39.08,1,9.97,1:38.73,5,11.27,1:41.23,2,9.94,1:38.83,3,9.94,1:38.95
4,10.13,1:49.21,1,9.93,1:48.66,5,11.76,1:52.99,2,9.91,1:48.74,3,9.86,1:48.81
4,10.32,1:59.53,1,9.85,1:58.51,5,12.20,2:05.19,2,9.85,1:58.59,3,9.87,1:58.68
4,10.77,2:10.30,1,9.93,2:08.44,5,12.98,2:18.17,2,9.93,2:08.52,3,9.93,2:08.61
4,11.18,2:21.48,1,10.20,2:18.64,5,14.58,2:32.75,2,10.18,2:18.70,3,10.20,2:18.81
4,11.72,2:33.191,1,10.48,2:29.119,5,13.62,2:46.362,2,10.49,2:29.187,3,10.76,2:29.562
