Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
1,9.44,9.44,2,9.57,9.57,4,9.69,9.69,3,9.69,9.69,5,9.91,9.91
2,13.53,22.97,3,13.55,23.12,5,13.83,23.52,4,13.64,23.33,1,12.96,22.87
2,11.99,34.96,3,11.95,35.07,5,11.80,35.32,4,11.85,35.18,1,11.97,34.84
2,11.98,46.94,3,12.03,47.10,5,12.01,47.33,4,12.01,47.19,1,12.00,46.84
3,12.17,59.11,4,12.09,59.19,5,12.04,59.37,2,11.89,59.08,1,12.15,58.99
4,11.77,1:10.88,3,11.69,1:10.88,5,11.76,1:11.13,1,11.60,1:10.68,2,11.72,1:10.71
5,10.60,1:21.48,4,10.52,1:21.40,3,10.20,1:21.33,2,10.61,1:21.29,1,10.50,1:21.21
5,9.54,1:31.02,4,9.51,1:30.91,1,9.33,1:30.66,3,9.55,1:30.84,2,9.56,1:30.77
4,10.22,1:41.24,3,10.06,1:40.97,1,9.96,1:40.62,5,16.05,1:46.89,2,9.98,1:40.75
4,10.50,1:51.74,3,9.57,1:50.54,1,9.66,1:50.28,5,19.32,2:06.21,2,9.69,1:50.44
4,10.27,2:02.01,3,9.60,2:00.14,1,9.66,1:59.94,5,14.36,2:20.57,2,9.60,2:00.04
4,10.39,2:12.40,3,9.70,2:09.84,1,9.70,2:09.64,5,13.55,2:34.12,2,9.68,2:09.72
4,10.72,2:23.12,3,9.70,2:19.54,1,9.71,2:19.35,5,12.04,2:46.16,2,9.72,2:19.44
0,,PEN,3,10.13,2:29.663,1,9.85,2:29.196,4,11.51,2:57.664,2,9.95,2:29.390
