VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Elisa LENKE POSITION,Elisa LENKE LAP TIME,Elisa LENKE ELAPSED TIME
2,14.08,14.08,4,14.24,14.24,1,13.98,13.98,3,14.14,14.14
3,10.80,24.88,4,10.78,25.02,2,10.79,24.77,1,10.38,24.52
3,10.36,35.24,4,10.33,35.35,2,10.35,35.12,1,10.47,34.99
3,10.54,45.78,4,10.55,45.90,2,10.59,45.71,1,10.59,45.58
3,10.76,56.54,4,10.75,56.65,2,10.73,56.44,1,10.74,56.32
3,10.84,1:07.38,2,10.41,1:07.06,1,10.37,1:06.81,4,11.38,1:07.70
3,9.97,1:17.35,2,10.22,1:17.28,1,10.35,1:17.16,4,10.68,1:18.38
2,9.90,1:27.25,4,23.82,1:41.10,1,9.94,1:27.10,3,10.96,1:29.34
2,9.97,1:37.213,0,,PEN,1,9.83,1:36.929,3,11.32,1:40.652
