Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
2,12.56,12.56,4,12.64,12.64,1,12.51,12.51,3,12.63,12.63
1,9.46,22.02,4,9.74,22.38,3,9.70,22.21,2,9.48,22.11
1,9.85,31.87,4,9.69,32.07,2,9.67,31.88,3,9.89,32.00
3,9.44,41.31,1,9.04,41.11,2,9.34,41.22,4,9.41,41.41
3,9.50,50.81,1,9.50,50.61,2,9.49,50.71,4,9.50,50.91
4,9.58,1:00.39,1,9.56,1:00.17,2,9.57,1:00.28,3,9.47,1:00.38
3,9.50,1:09.89,1,9.49,1:09.66,2,9.48,1:09.76,4,9.68,1:10.06
4,9.91,1:19.80,1,9.76,1:19.42,2,9.78,1:19.54,3,9.59,1:19.65
4,9.78,1:29.580,1,9.77,1:29.184,2,9.71,1:29.248,3,9.73,1:29.380
