Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME
2,14.040,14.040,3,14.120,14.120,4,14.290,14.290,1,13.880,13.880
3,10.430,24.470,2,10.280,24.400,4,10.470,24.770,1,10.140,24.030
3,9.830,34.300,2,9.720,34.120,4,9.760,34.530,1,9.720,33.750
1,9.080,43.380,2,9.350,43.480,3,9.130,43.660,4,9.910,43.670
2,9.080,52.460,3,9.110,52.590,4,9.100,52.770,1,8.760,52.430
2,8.850,1:01.320,3,8.830,1:01.420,4,8.810,1:01.580,1,8.790,1:01.230
2,8.910,1:10.230,3,8.840,1:10.260,4,9.370,1:10.960,1,8.920,1:10.150
2,8.760,1:19.000,3,8.770,1:19.030,4,9.400,1:20.370,1,8.500,1:18.650
3,9.790,1:28.790,2,9.270,1:28.310,4,9.670,1:30.040,1,9.560,1:28.220
