Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Dejan HORVACKI POSITION,Dejan HORVACKI LAP TIME,Dejan HORVACKI ELAPSED TIME,Sofic DINO POSITION,Sofic DINO LAP TIME,Sofic DINO ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
1,13.252,13.252,3,14.130,14.130,4,14.544,14.544,2,13.592,13.592
2,10.499,23.751,4,11.599,25.728,3,10.969,25.513,1,9.974,23.565
2,10.429,34.180,4,11.540,37.268,3,11.585,37.097,1,10.259,33.823
2,10.753,44.932,4,12.026,49.293,3,12.017,49.114,1,11.068,44.891
2,10.459,55.391,4,12.355,1:01.647,3,12.449,1:01.563,1,10.301,55.192
1,10.257,1:05.647,3,12.420,1:14.067,4,12.776,1:14.339,2,10.546,1:05.737
1,10.484,1:16.131,3,13.070,1:27.136,4,13.121,1:27.459,2,10.443,1:16.179
1,10.601,1:26.731,3,12.987,1:40.123,4,12.734,1:40.193,2,10.737,1:26.916
2,10.63,1:37.353,4,12.47,1:52.593,3,12.30,1:52.490,1,10.40,1:37.313
