Geneve BELANGER POSITION,Geneve BELANGER LAP TIME,Geneve BELANGER ELAPSED TIME,April SHIN POSITION,April SHIN LAP TIME,April SHIN ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Tunde BALAZS POSITION,Tunde BALAZS LAP TIME,Tunde BALAZS ELAPSED TIME
2,15.71,15.71,1,15.67,15.67,4,16.11,16.11,3,15.90,15.90
2,12.07,27.78,1,12.03,27.70,3,11.72,27.83,4,12.00,27.90
2,11.00,38.78,3,11.18,38.88,1,10.88,38.71,4,11.00,38.90
1,10.71,49.49,3,10.77,49.65,2,10.79,49.50,4,10.81,49.71
1,10.22,59.71,3,10.27,59.92,2,10.32,59.82,4,10.28,59.99
1,10.27,1:09.98,3,10.35,1:10.27,2,10.32,1:10.14,4,10.43,1:10.42
2,9.93,1:19.91,3,10.02,1:20.29,1,9.77,1:19.91,4,10.36,1:20.78
2,9.82,1:29.73,3,10.35,1:30.64,1,9.66,1:29.57,4,10.74,1:31.52
2,9.88,1:39.603,3,10.76,1:41.397,1,9.85,1:39.417,4,11.03,1:42.545
