ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,Sebastien GAGNON POSITION,Sebastien GAGNON LAP TIME,Sebastien GAGNON ELAPSED TIME,HEO Andrew POSITION,HEO Andrew LAP TIME,HEO Andrew ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME,SUN Long POSITION,SUN Long LAP TIME,SUN Long ELAPSED TIME
1,11.46,11.46,4,12.15,12.15,2,11.62,11.62,3,11.80,11.80,5,12.37,12.37
1,17.22,28.68,4,16.99,29.14,2,17.19,28.81,3,17.19,28.99,5,16.96,29.33
2,15.24,43.92,5,15.11,44.25,1,14.98,43.79,3,15.11,44.10,4,14.90,44.23
1,13.51,57.43,5,13.73,57.98,2,13.79,57.58,3,13.53,57.63,4,13.65,57.88
3,12.74,1:10.17,5,12.56,1:10.54,1,12.43,1:10.01,2,12.51,1:10.14,4,12.50,1:10.38
2,11.66,1:21.83,5,11.62,1:22.16,1,11.71,1:21.72,3,11.74,1:21.88,4,11.68,1:22.06
1,10.48,1:32.31,3,10.29,1:32.45,2,10.68,1:32.40,4,10.61,1:32.49,5,10.59,1:32.65
3,9.62,1:41.93,1,9.39,1:41.84,2,9.52,1:41.92,4,9.60,1:42.09,5,9.56,1:42.21
5,9.63,1:51.56,1,9.51,1:51.35,4,9.54,1:51.46,2,9.29,1:51.38,2,9.17,1:51.38
5,9.01,2:00.57,2,9.04,2:00.39,4,9.02,2:00.48,3,9.04,2:00.42,1,8.76,2:00.14
4,9.01,2:09.58,5,9.77,2:10.16,2,8.90,2:09.38,3,9.06,2:09.48,1,8.82,2:08.96
4,9.20,2:18.78,5,9.43,2:19.59,2,8.97,2:18.35,3,8.97,2:18.45,1,8.89,2:17.85
4,9.79,2:28.57,5,9.75,2:29.34,2,8.90,2:27.25,3,8.95,2:27.40,1,9.11,2:26.96
4,10.41,2:38.982,5,10.64,2:39.989,2,9.08,2:36.33,3,9.05,2:36.45,1,9.33,2:36.29
