Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
2,8.46,8.46,1,8.33,8.33,3,8.58,8.58,5,8.79,8.79,4,8.78,8.78
1,11.73,20.19,2,11.88,20.21,3,11.78,20.37,5,11.99,20.78,4,11.80,20.59
2,11.08,31.28,3,11.10,31.32,1,10.72,31.09,5,10.84,31.63,4,10.78,31.38
5,10.49,41.77,4,10.44,41.77,2,10.43,41.52,3,9.97,41.60,1,10.12,41.51
2,10.51,52.28,4,10.66,52.43,1,10.58,52.11,5,10.87,52.47,3,10.81,52.32
3,10.23,1:02.52,4,10.25,1:02.68,1,10.26,1:02.38,5,10.25,1:02.73,2,10.20,1:02.52
4,9.86,1:12.38,5,9.82,1:12.51,1,9.57,1:11.96,2,9.46,1:12.19,3,9.68,1:12.21
4,9.46,1:21.84,5,9.38,1:21.89,1,9.66,1:21.62,3,9.58,1:21.77,2,9.53,1:21.74
3,9.61,1:31.46,4,9.61,1:31.50,1,9.52,1:31.15,5,9.84,1:31.62,2,9.59,1:31.34
3,9.35,1:40.82,2,9.19,1:40.70,4,9.68,1:40.83,1,8.74,1:40.36,5,9.50,1:40.84
4,10.09,1:50.91,1,9.48,1:50.18,3,9.80,1:50.63,5,12.02,1:52.38,2,9.72,1:50.57
4,9.55,2:00.46,1,9.72,1:59.91,2,9.38,2:00.01,5,23.54,2:15.93,3,9.59,2:00.16
4,9.81,2:10.28,2,9.29,2:09.20,1,9.16,2:09.17,5,15.46,2:31.40,3,9.33,2:09.49
3,10.40,2:20.673,1,9.67,2:18.862,2,9.75,2:18.913,4,24.99,2:56.388,0,,DQ
