LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,SHIN Sae-Bom POSITION,SHIN Sae-Bom LAP TIME,SHIN Sae-Bom ELAPSED TIME
1,13.850,13.850,2,14.000,14.000,3,14.170,14.170,4,14.260,14.260
1,10.500,24.350,2,10.480,24.490,3,10.370,24.540,4,10.430,24.700
1,10.450,34.810,2,10.470,34.960,4,10.460,35.010,3,10.280,34.980
1,9.910,44.720,3,10.010,44.980,4,10.000,45.010,2,9.790,44.770
1,10.030,54.750,3,9.940,54.920,4,10.070,55.080,2,9.990,54.760
2,10.190,1:04.950,3,10.130,1:05.050,4,9.970,1:05.060,1,10.080,1:04.840
2,10.030,1:14.980,3,10.190,1:15.240,4,10.530,1:15.590,1,10.080,1:14.920
2,10.080,1:25.070,3,10.470,1:25.710,4,10.670,1:26.260,1,10.080,1:25.010
2,10.370,1:35.440,3,10.880,1:36.600,4,11.060,1:37.320,1,10.350,1:35.370
