Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME
2,13.75,13.75,1,13.67,13.67,3,13.75,13.75,4,13.88,13.88
1,10.10,23.86,2,10.31,23.98,3,10.34,24.09,4,10.30,24.19
1,10.09,33.95,2,10.18,34.16,3,10.15,34.24,4,10.42,34.62
1,9.99,43.95,2,9.84,44.01,3,10.02,44.26,4,10.96,45.58
2,10.14,54.10,1,10.08,54.09,3,10.05,54.32,4,11.04,56.63
2,9.93,1:04.03,1,9.86,1:03.96,3,9.96,1:04.28,4,11.35,1:07.98
1,9.94,1:13.97,2,10.03,1:13.99,3,10.00,1:14.28,4,11.63,1:19.61
1,9.96,1:23.94,2,10.03,1:24.02,3,10.03,1:24.32,4,11.81,1:31.43
2,10.49,1:34.423,1,10.37,1:34.386,3,10.15,1:34.466,4,12.21,1:43.632
