LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME,Danylo FEDORENKO POSITION,Danylo FEDORENKO LAP TIME,Danylo FEDORENKO ELAPSED TIME,Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME
2,13.65,13.65,5,13.92,13.92,1,13.53,13.53,3,13.81,13.81,4,13.89,13.89
3,11.11,24.76,4,10.96,24.88,1,10.99,24.52,5,11.28,25.09,2,10.76,24.65
4,10.80,35.56,1,10.33,35.21,2,10.81,35.33,5,10.66,35.75,3,10.79,35.44
3,10.22,45.78,4,10.59,45.80,2,10.36,45.69,5,10.14,45.89,1,10.15,45.59
4,9.63,55.41,5,9.71,55.51,3,9.64,55.33,1,9.19,55.08,2,9.63,55.22
5,9.19,1:04.60,4,9.02,1:04.53,3,8.99,1:04.32,1,9.01,1:04.09,2,9.08,1:04.30
5,9.35,1:13.95,4,9.31,1:13.84,2,8.93,1:13.25,1,9.01,1:13.10,3,9.06,1:13.36
4,9.40,1:23.35,4,9.51,1:23.35,2,8.95,1:22.20,1,9.02,1:22.12,3,9.04,1:22.40
4,9.58,1:32.935,5,9.94,1:33.297,2,9.31,1:31.51,1,9.27,1:31.39,3,9.30,1:31.700
