Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Natalia PLUGINA POSITION,Natalia PLUGINA LAP TIME,Natalia PLUGINA ELAPSED TIME
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
1,14.100,14.100,4,14.610,14.610,3,14.380,14.380,2,14.340,14.340
1,10.910,25.020,4,10.770,25.390,2,10.800,25.190,3,10.870,25.210
1,10.790,35.810,4,10.710,36.100,3,10.830,36.020,2,10.600,35.820
1,10.480,46.300,4,10.490,46.600,2,10.340,46.370,3,10.590,46.420
1,9.970,56.270,3,9.990,56.590,4,10.400,56.780,2,9.920,56.340
1,10.150,1:06.430,3,10.050,1:06.640,4,10.300,1:07.090,2,10.160,1:06.510
1,10.150,1:16.580,4,10.500,1:17.150,3,9.880,1:16.970,2,10.220,1:16.730
2,10.340,1:26.920,4,10.110,1:27.260,3,10.200,1:27.180,1,9.980,1:26.710
3,10.510,1:37.440,1,9.940,1:37.210,4,10.390,1:37.570,2,10.630,1:37.340
